id,sender,timestamp,text
1,Carol,2024-01-01T10:18:00,Мне нужно больше деталей.
2,Grace,2024-01-06T17:37:00,Запускаю тесты.
3,Grace,2024-01-04T02:21:00,Сделаю вечером.
4,Bob,2024-01-13T17:24:00,"Похоже, что-то сломалось."
5,Bob,2024-01-09T07:12:00,Пока без изменений.
6,Heidi,2024-01-01T09:05:00,Кто-нибудь видел файл?
7,Eve,2024-01-02T15:31:00,Когда созвон?
8,Bob,2024-01-09T14:11:00,Через час буду на связи.
9,Grace,2024-01-15T06:03:00,Можешь посмотреть позже?
10,Heidi,2024-01-05T08:52:00,Уже почти готово.
11,Heidi,2024-01-06T06:04:00,Что по дедлайну?
12,Frank,2024-01-09T01:15:00,Вышло новое обновление.
13,Eve,2024-01-07T18:16:00,Можешь посмотреть позже?
14,Grace,2024-01-14T20:31:00,"Я думаю, это хорошая идея."
15,Grace,2024-01-02T06:12:00,Пока без изменений.
16,Carol,2024-01-14T14:05:00,Мне нужно больше деталей.
17,Eve,2024-01-07T22:03:00,Мне нужно больше деталей.
18,Grace,2024-01-11T18:45:00,"Да, видел это вчера."
19,Bob,2024-01-12T22:49:00,"Ок, принял."
20,Frank,2024-01-09T00:04:00,"Проверил, всё работает."
21,Heidi,2024-01-05T23:29:00,Можешь посмотреть позже?
22,Eve,2024-01-02T06:04:00,Уже почти готово.
23,Heidi,2024-01-15T03:52:00,"Готово, можно проверять."
24,Heidi,2024-01-05T14:11:00,"Проверил, всё работает."
25,Dave,2024-01-01T12:09:00,Давайте решим это завтра.
26,Bob,2024-01-07T06:27:00,Это звучит странно.
27,Bob,2024-01-05T16:23:00,"Уточни, пожалуйста."
28,Alice,2024-01-07T16:37:00,Пока без изменений.
29,Heidi,2024-01-02T23:54:00,"Уточни, пожалуйста."
30,Grace,2024-01-13T21:45:00,Давайте решим это завтра.
31,Bob,2024-01-01T16:32:00,Есть новости по задаче?
32,Grace,2024-01-02T05:14:00,Можешь посмотреть позже?
33,Bob,2024-01-03T11:04:00,Через час буду на связи.
34,Grace,2024-01-01T22:03:00,"Скинь, пожалуйста, ссылку."
35,Eve,2024-01-06T05:41:00,"Отлично, так и сделаем."
36,Frank,2024-01-04T16:29:00,"Отлично, так и сделаем."
37,Bob,2024-01-06T14:24:00,"Я думаю, это хорошая идея."
38,Bob,2024-01-14T12:12:00,"Отлично, так и сделаем."
39,Alice,2024-01-14T06:57:00,Через час буду на связи.
40,Bob,2024-01-14T16:22:00,"Да, видел это вчера."
41,Alice,2024-01-14T07:21:00,"Проверил, всё работает."
42,Heidi,2024-01-06T14:11:00,Привет! Как дела?
43,Eve,2024-01-12T08:07:00,Мне нужно больше деталей.
44,Bob,2024-01-07T04:55:00,Можно перенести встречу?
45,Heidi,2024-01-10T22:28:00,"Уточни, пожалуйста."
46,Frank,2024-01-05T07:03:00,Пока без изменений.
47,Eve,2024-01-13T09:56:00,Отправил в личку.
48,Dave,2024-01-12T12:44:00,Кто-нибудь видел файл?
49,Carol,2024-01-02T14:25:00,Сделаю вечером.
50,Alice,2024-01-13T20:44:00,"Я думаю, это хорошая идея."
51,Alice,2024-01-03T02:20:00,"Да, видел это вчера."
52,Carol,2024-01-05T17:12:00,Можешь посмотреть позже?
53,Carol,2024-01-01T12:20:00,"Да, видел это вчера."
