question,answer
На какие даты планировали созвоны?,"В чате упоминается только вопрос «Когда созвон?», но конкретные даты созвонов не приводятся."
"Были ли запланированы какие-то встречи? Если да, на какие дни?","Было сообщение «Можно перенести встречу?», что предполагает наличие запланированной встречи. Дата не указана."
Переносили ли встречи или обсуждали необходимость переноса?,"Да, было сообщение «Можно перенести встречу?». Подтверждения переноса нет."
Кто отвечал за организацию встреч или созвонов?,Из переписки нельзя выделить конкретного ответственного.
Кто обсуждал корпоратив или любые оффлайн-события?,В датасете нет упоминаний о корпоративах или оффлайн-ивентах.
Какие коллеги договаривались связаться позже?,"Фраза «Через час буду на связи» встречается у разных отправителей, но конкретной договоренности нет."
Когда обсуждали сроки выполнения задач?,"Сроки обсуждались в сообщениях о дедлайнах, но конкретных дат не было."
"Кто уведомлял, что что-то готово?","Сообщения о готовности встречаются у разных участников, без единственного исполнителя."
Какие сообщения были связаны с запуском тестов и проверками?,"«Запускаю тесты», «Проверил, всё работает», «Перепроверь, пожалуйста»."
Были ли договорённости что-то сделать вечером?,"Да, есть сообщение «Сделаю вечером»."
Какие задачи требовали уточнений?,"Сообщения «Мне нужно больше деталей» и «Уточни, пожалуйста»."
Кто сообщал о технических проблемах?,"«Похоже, что-то сломалось» и «Не вижу сообщения»."
Что было известно об обновлениях?,"Упомянуто «Вышло новое обновление», без подробностей."
Кто отправлял материалы или ссылки?,"«Отправил в личку» и «Скинь, пожалуйста, ссылку»."
Были ли в чате срочные задачи?,"Да, есть сообщение «Это срочно?»."
В какие периоды коллеги были недоступны или заняты?,«Через час буду на связи» — единственное упоминание недоступности.
Какие задачи были явно завершены?,"«Готово, можно проверять», «Проверил, всё работает»."
"Были ли случаи, когда участники не могли найти нужные ресурсы?",Да — «Кто-нибудь видел файл?».
Какие задачи требовали проверки от других участников?,"«Перепроверь, пожалуйста», «Готово, можно проверять»."
Были ли сообщения о планировании на завтра?,Да — «Давайте решим это завтра».
